vehículo,año,precio,aceleración,consumo,clase
Auris HSD,2010,35787.29,8.85,68.21,Compacto
CR-Z,2010,21435.54,9.24,37.0,Biplaza
F3DM PHEV,2010,23124.59,9.24,30.15,Mediano
Touareg,2010,64198.95,15.38,28.7,SUV
Audi Q5,2010,37510.86,14.08,33.64,SUV
Jeep Patriot,2010,17045.06,12.05,29.4,SUV
Besturn B50  ,2010,14586.61,7.14,31.28,Mediano
ActiveHybrid 7,2010,104300.43,20.41,22.11,Grande
Lincoln MKZ,2010,37036.64,11.15,37.63,Mediano
Fit/Jazz,2010,16911.85,8.26,30.0,Compacto
Sonata,2010,28287.66,14.7,37.0,Mediano
Cayenne S,2010,73183.47,14.71,26.11,SUV
Insight,2010,19859.16,9.17,41.0,Compacto
Fuga Infiniti M35H,2010,70157.02,18.65,33.64,Mediano
Chevrolet Volt,2010,42924.35,10.78,35.0,Compacto
Tribute 4WD,2010,27968.32,12.35,29.0,SUV
Fusion FWD,2010,28033.51,11.49,39.0,Mediano
HS 250h,2010,34753.53,11.76,35.0,Compacto
Mariner FWD,2010,30194.95,11.63,32.0,SUV
RX 450h,2010,42812.54,13.89,30.0,SUV
ML450 4natic,2010,55164.33,12.99,22.0,SUV
Silverado 15 2WD,2010,38454.56,11.76,22.0,Camioneta
S400,2010,88212.78,12.99,21.0,Grande
Aqua,2011,22850.87,9.35,50.0,Compacto
Lexus CT200h,2011,30082.16,9.71,42.0,Compacto
Civic (3ra Gen),2011,24999.59,9.6,44.36,Compacto
Prius alpha (V),2011,30588.35,10.0,72.92,Mediano
3008,2011,45101.54,11.36,61.16,Compacto
Fit Shuttle,2011,16394.36,7.52,58.8,Minivan
Buick Regal,2011,27948.93,12.05,25.99,Mediano
Prius V,2011,27272.28,9.51,32.93,Mediano
Freed/Freed Spike,2011,27972.07,6.29,50.81,Minivan
Optima K5,2011,26549.16,10.54,36.0,Mediano
Escape FWD,2011,30661.34,12.35,32.0,SUV
Insight,2011,18254.38,9.52,41.0,Compacto
MKZ FWD,2011,34748.52,11.49,39.0,Mediano
CR-Z,2011,19402.8,12.2,37.0,Biplaza
Sonata,2011,25872.07,11.9,36.0,Mediano
Camry,2011,27130.82,13.89,33.0,Mediano
Tribute 2WD,2011,26213.09,12.5,32.0,SUV
Cayenne S,2011,67902.28,18.52,21.0,SUV
Touareg,2011,50149.39,16.13,21.0,SUV
ActiveHybrid 7i,2011,102605.66,18.18,20.0,Mediano
Prius C,2012,19006.62,9.35,50.0,Compacto
Prius PHV,2012,32095.61,8.82,50.0,Mediano
Ampera,2012,31739.55,11.11,37.0,Compacto
ActiveHybrid 5,2012,62180.23,16.67,26.0,Mediano
Lexus GS450h,2012,59126.14,16.95,31.0,Mediano
Insight,2012,18555.28,9.42,42.0,Compacto
Chevrolet Volt,2012,39261.96,11.11,37.0,Compacto
Camry LE,2012,26067.66,13.16,41.0,Mediano
MKZ FWD,2012,34858.84,11.49,39.0,Mediano
M35h,2012,53860.45,19.23,29.0,Mediano
LaCrosse,2012,30049.52,11.36,29.0,Mediano
ActiveHybrid 5,2012,61132.11,17.54,26.0,Mediano
Panamera S,2012,95283.85,17.54,25.0,Grande
Yukon 1500,2012,52626.77,13.5,21.0,SUV
Prius C,2013,19080.0,8.7,50.0,Compacto
Jetta,2013,24995.0,12.66,45.0,Compacto
Civic,2013,24360.0,10.2,44.0,Compacto
Prius,2013,24200.0,10.2,50.0,Mediano
Fusion FWD,2013,27200.0,11.72,47.0,Mediano
C-Max FWD,2013,25200.0,12.35,43.0,Grande
Insight,2013,18600.0,11.76,42.0,Compacto
Camry LE,2013,26140.0,13.51,41.0,Mediano
Camry LXLE,2013,27670.0,13.33,40.0,Mediano
Sonata,2013,25650.0,11.76,38.0,Mediano
Optima,2013,25900.0,11.63,38.0,Mediano
Sonata Limited,2013,30550.0,11.76,37.0,Mediano
Optima EX,2013,31950.0,11.36,37.0,Mediano
Malibu,2013,24985.0,11.49,29.0,Mediano
LaCrosse,2013,31660.0,11.36,29.0,Mediano
Regal,2013,29015.0,12.2,29.0,Mediano
RX 450h,2013,46310.0,12.99,30.0,SUV
Highlander 4WD,2013,40170.0,13.89,28.0,SUV
Q5,2013,50900.0,14.71,26.0,SUV
Cayenne S,2013,69850.0,16.39,21.0,SUV
Touareg,2013,62575.0,16.13,21.0,SUV
Escalade 2WD,2013,74425.0,11.63,21.0,SUV
Tahoe 2WD,2013,53620.0,11.9,21.0,SUV
Yukon 1500,2013,54145.0,11.88,21.0,SUV
Yukon 1500,2013,61960.0,13.33,21.0,SUV
MKZ FWD,2013,35925.0,14.03,45.0,Mediano
CT 200h,2013,32050.0,10.31,42.0,Compacto
ES 300h,2013,39250.0,12.35,40.0,Mediano
ILX,2013,28900.0,9.26,38.0,Compacto
ActiveHybrid 3,2013,49650.0,14.93,28.0,Compacto
Silverado 15 2WD,2013,41135.0,12.35,21.0,Camioneta
Sierra 15 2WD,2013,41555.0,10.0,21.0,Camioneta
GS 450h,2013,59450.0,16.67,31.0,Mediano
M35h,2013,54750.0,19.61,29.0,Mediano
E400,2013,55800.0,14.93,26.0,Mediano
ActiveHybrid 5,2013,61400.0,12.99,26.0,Mediano
ActiveHybrid 7L,2013,84300.0,18.18,25.0,Grande
Panamera S,2013,96150.0,18.52,25.0,Grande
S400,2013,92350.0,13.89,21.0,Grande
Prius Plug-in,2013,32000.0,9.17,50.0,Mediano
C-Max Energi Plug-in,2013,32950.0,11.76,43.0,Mediano
Fusion Energi Plug-in,2013,38700.0,11.76,43.0,Mediano
Chevrolet Volt,2013,39145.0,11.11,37.0,Compacto
